number,id,title,grammarLabel
1,"lesson-01-am","我是谁","be 动词 · I am"
2,"lesson-02-is","你是谁，他是谁","be 动词 · you are / he is"
3,"lesson-03-have","我有一个背包","have + a"
4,"lesson-04-want","我想要一杯奶茶","want + a / an"
5,"lesson-05-like","我喜欢音乐","like + 名词"
6,"lesson-06-it","现在几点了","It is · 时间与天气"
7,"lesson-07-we","我们很开心","be 动词 · we are / they are"
8,"lesson-08-my","她是我的朋友","物主词 my / her"
9,"lesson-09-go","放学去图书馆","go to + 地点"
10,"lesson-10-went","昨天去了公园","说昨天的事"
11,"lesson-11-plural","昨天吃了三明治","好几个 + 特殊的昨天版"
12,"lesson-12-will","明天要画画","will 将来时"
13,"lesson-13-now","正在做什么","正在做 · am/is/are + 动词ing"
14,"lesson-14-can","我能点这个吗","能 · can"
15,"lesson-15-want-to","我想去旅行","want to + 原样"
16,"lesson-16-must","今天必须交作业","必须 · must / have to"
17,"lesson-17-comparative","更大、更好、更快","比一比 · -er / more"
18,"lesson-18-preposition","在哪、什么时候","在哪儿 · in / on / at"
19,"lesson-19-and-but","又忙又开心","连词 · and / but"
20,"lesson-20-because-so","因为我起晚了","连词 · because / so"
21,"lesson-21-have-done","作业写完了","做过了 · have + 做过版"
22,"lesson-22-been-to","去过北京","去过 / 见过 · have been to"
23,"lesson-23-have-lost","钥匙不见了","弄丢了 / 弄坏了 · have + 做过版"
24,"lesson-24-past-vs-perfect","昨天去了，还是去过了？","对比 · 昨天版 vs 做过版"
25,"lesson-25-third-person","他每天喝牛奶","每天都做 · 他/她/它加 -s"
26,"lesson-26-there-be","桌上有一本书","存在句 · there is / there are"
27,"lesson-27-question-words","你在找什么","疑问词 · what / where / when / how"
28,"lesson-28-frequency","我总是早到","多久一次 · always / often / never"
29,"lesson-29-be-going-to","我打算去看电影","将来时 · be going to"
30,"lesson-30-some-any","桌上有一些苹果","数量词 · some / any / much / many"
31,"lesson-31-superlative","这是最大的苹果","最能比 · -est / most"
32,"lesson-32-imperative","把门关上","祈使句 · 动词开头"
33,"lesson-33-pronouns","这是谁的伞","指示代词 · this / that / these / those"
34,"lesson-34-past-continuous","那时我正在画画","那时正在做 · was/were + 动词ing"
35,"lesson-35-know-where","我知道它在哪","话中话 · 问句回家换鞋"
36,"lesson-36-think-that","我觉得她累了","话中话 · 小挂件 that"
37,"lesson-37-where-he-is","我不知道他在哪","话中话 · 引子可以换人"
38,"lesson-38-she-says","她说她会来","话中话 · 转述别人的话"
39,"lesson-39-who-glasses","那个戴眼镜的男生","给名词挂尾巴 · who"
40,"lesson-40-which-book","我读过的那本书","给名词挂尾巴 · which"
41,"lesson-41-two-things","一句话说两件事","收口 · 两句话拼一句"
42,"lesson-42-like-reading","我喜欢读书","动词的第二份工作 · -ing"
43,"lesson-43-swimming-fun","游泳真好玩","让事情当主角 · -ing 开头"
44,"lesson-44-shop-to-buy","去商店买牛奶","小垫板新用法 · to + 去做什么"
45,"lesson-45-enjoy-drawing","我享受读书","enjoy 的门 · 只认 -ing"
46,"lesson-46-two-partners","一句话，两种搭档","收口 · 名字版 + 小垫板"
47,"lesson-47-should","你应该早点睡","情态三兄弟 · should"
48,"lesson-48-if-rain","如果下雨就不去","条件句 · if 里说现在"
49,"lesson-49-advice-if","你应该试试","收口 · 建议 + 条件"
50,"lesson-50-passive","杯子被摔了","幕后句 · 谁做的不重要"
51,"lesson-51-plural","教室被打扫了","幕后句 · 好几个的搭档"
52,"lesson-52-by-agent","蛋糕被谁吃了","幕后句 · 想说谁就垫 by"
53,"lesson-53-has-been-done","窗户已经打扫过了","幕后句 · 已经做过了"
54,"lesson-54-focus","谁上台","收口 · 谁重要谁上台"
55,"lesson-55-ordinal","第一个到教室","第几个 · first / second / third"
56,"lesson-56-months","我的生日在五月","月份 · in May"
57,"lesson-57-dates","十月一日","日期 · on October 1"
58,"lesson-58-ly-adverbs","她跑得快","做事的样子 · 动词后面加 -ly"
59,"lesson-59-well-fast","她唱得好","不按 -ly 走的两个常客 · good→well、fast→fast"
60,"lesson-60-there-was","昨天公园里有…","回忆版存在句 · there was / there were"
61,"lesson-61-could-you","能帮我一下吗","客气请求 · Could you…?"
62,"lesson-62-would-like","你想要点什么","客气想要 · would like"
63,"lesson-63-give-me","把它递给我","给东西 · give me the book / give it to me"
64,"lesson-64-finish-doing","我看完啦","收尾动词 · finish + 名字版"
65,"lesson-65-as-as","和你一样高","一样 · as tall as"
66,"lesson-66-too-to","太重了拿不动","太…了装不下 · too…to"
67,"lesson-67-good-at","我擅长画画","擅长 · good at + 名字版"
68,"lesson-68-buy-for","买给你","买给谁 · buy sb sth / buy sth for sb"
69,"lesson-69-mind","你介意吗","客气第四档 · Would you mind + 名字版"
70,"lesson-70-would-you-like","要不要","提供 · Would you like…? + Yes, please / No, thanks"
71,"lesson-71-enough","够轻拿得动","够 · enough 站词后"
72,"lesson-72-how-often","多久一次","多久一次 · How often + 答语词块"
73,"lesson-73-how-long","要花多久","要花多久 · How long does it take? + It takes…"
74,"lesson-74-help-let","让我来帮你","让我来 · Let me / help + 动作穿原样"
75,"lesson-75-lets","咱们去…吧","提议 · Let's + 动作穿原样"
76,"lesson-76-much-better","好多了","加力 · much + 更…"
77,"lesson-77-keep-doing","一直在做","习惯不停 · keep + 名字版"
78,"lesson-78-day-story","一天的故事","收口 · 跨季大团圆（零新知）"
79,"lesson-79-next-to","就在旁边","位置词 · next to"
80,"lesson-80-front-behind","前面、后面","位置词 · in front of / behind"
81,"lesson-81-between","夹在中间","位置词 · between A and B"
82,"lesson-82-put","把它放那儿","放 · put（三态同形）"
83,"lesson-83-something","有个东西","不点名的东西 · something / anything"
84,"lesson-84-nothing","什么都没有","不点名的东西 · nothing / someone"
85,"lesson-85-whose","这是谁的","问东西的主人 · whose"
86,"lesson-86-lost-and-found","失物招领处","收口 · 大团圆（零新知）"
87,"lesson-87-its-cold","今天真冷","两个词挤一挤 · It's"
88,"lesson-88-its-windy","今天刮风","名词穿外套 · windy / snowy / cloudy"
89,"lesson-89-what-a-day","多好的天啊","多好的… · What a + 东西"
90,"lesson-90-after","写完作业才看电视","先后 · after + 小句子"
91,"lesson-91-before","吃饭前先洗手","先后 · before + 小句子"
92,"lesson-92-when","天晴的时候我跑步","什么时候 · when + 小句子"
93,"lesson-93-used-to","我从前常在这儿玩","从前常这样 · used to"
94,"lesson-94-gate-talk","校门口聊两句","收口 · 大团圆（零新知）"
95,"lesson-95-was-doing","那时我正在看书","那时正做着 · was + 穿 -ing"
96,"lesson-96-was-raining","当时正下着雨","背景句 · It was + 穿 -ing"
97,"lesson-97-when-called","你打电话的时候","那时候 · when + 当时正做着"
98,"lesson-98-while","一边…一边…","两件同时 · while + 一阵子对一阵子"
99,"lesson-99-when-rang","电话响的时候","哪件用哪个版本 · 进行 vs 昨天版"
100,"lesson-100-used-to-story","从前常这样","讲故事 · used to 回讲"
